"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50150.652199,
"AUS","GDP","TOT","USD_CAP","A","2017",50699.175108,
"AUS","GDP","TOT","USD_CAP","A","2018",52907.901588,
"AUS","GDP","TOT","USD_CAP","A","2019",52956.736913,
"AUS","GDP","TOT","USD_CAP","A","2020",54654.22634,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",57077.725327,
"AUT","GDP","TOT","USD_CAP","A","2019",58656.346377,
"AUT","GDP","TOT","USD_CAP","A","2020",55651.106208,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52623.794383,
"BEL","GDP","TOT","USD_CAP","A","2019",54918.053637,
"BEL","GDP","TOT","USD_CAP","A","2020",52781.880047,"P"
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CAN","GDP","TOT","USD_CAP","A","2018",50239.988278,
"CAN","GDP","TOT","USD_CAP","A","2019",50660.587438,
"CAN","GDP","TOT","USD_CAP","A","2020",48090.986507,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41147.631528,
"CZE","GDP","TOT","USD_CAP","A","2019",43326.662998,
"CZE","GDP","TOT","USD_CAP","A","2020",42044.238402,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57453.005832,
"DNK","GDP","TOT","USD_CAP","A","2019",59870.025325,
"DNK","GDP","TOT","USD_CAP","A","2020",60566.225614,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49700.52107,
"FIN","GDP","TOT","USD_CAP","A","2019",51521.398254,
"FIN","GDP","TOT","USD_CAP","A","2020",50810.730801,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46419.314271,
"FRA","GDP","TOT","USD_CAP","A","2019",49344.708712,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",46421.731837,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55142.158063,"P"
"DEU","GDP","TOT","USD_CAP","A","2019",56284.936441,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",54315.546336,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27511.777671,
"GRC","GDP","TOT","USD_CAP","A","2017",28604.794575,
"GRC","GDP","TOT","USD_CAP","A","2018",29652.89144,
"GRC","GDP","TOT","USD_CAP","A","2019",30841.801741,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",28369.403871,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27947.637585,
"HUN","GDP","TOT","USD_CAP","A","2017",29501.120486,
"HUN","GDP","TOT","USD_CAP","A","2018",31862.882417,
"HUN","GDP","TOT","USD_CAP","A","2019",33961.565566,
"HUN","GDP","TOT","USD_CAP","A","2020",33252.56356,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",58320.911643,
"ISL","GDP","TOT","USD_CAP","A","2019",60126.541783,
"ISL","GDP","TOT","USD_CAP","A","2020",55213.383661,
"IRL","GDP","TOT","USD_CAP","A","2016",71594.095685,
"IRL","GDP","TOT","USD_CAP","A","2017",77832.00899,
"IRL","GDP","TOT","USD_CAP","A","2018",84781.721928,
"IRL","GDP","TOT","USD_CAP","A","2019",89680.969173,
"IRL","GDP","TOT","USD_CAP","A","2020",95512.586102,
"ITA","GDP","TOT","USD_CAP","A","2016",40267.222623,
"ITA","GDP","TOT","USD_CAP","A","2017",41951.466331,
"ITA","GDP","TOT","USD_CAP","A","2018",43511.514215,
"ITA","GDP","TOT","USD_CAP","A","2019",44950.911658,
"ITA","GDP","TOT","USD_CAP","A","2020",41963.866404,
"JPN","GDP","TOT","USD_CAP","A","2016",40642.704531,
"JPN","GDP","TOT","USD_CAP","A","2017",41531.221619,
"JPN","GDP","TOT","USD_CAP","A","2018",42415.262579,
"JPN","GDP","TOT","USD_CAP","A","2019",42929.661311,
"JPN","GDP","TOT","USD_CAP","A","2020",41775.236553,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"KOR","GDP","TOT","USD_CAP","A","2017",40957.347064,
"KOR","GDP","TOT","USD_CAP","A","2018",42486.739807,
"KOR","GDP","TOT","USD_CAP","A","2019",42849.560289,
"KOR","GDP","TOT","USD_CAP","A","2020",43318.886116,"P"
"LUX","GDP","TOT","USD_CAP","A","2016",112955.470175,
"LUX","GDP","TOT","USD_CAP","A","2017",114862.528755,
"LUX","GDP","TOT","USD_CAP","A","2018",117080.390255,
"LUX","GDP","TOT","USD_CAP","A","2019",119127.51185,
"LUX","GDP","TOT","USD_CAP","A","2020",118726.496944,
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"MEX","GDP","TOT","USD_CAP","A","2018",20519.57785,
"MEX","GDP","TOT","USD_CAP","A","2019",20748.032715,"P"
"MEX","GDP","TOT","USD_CAP","A","2020",19322.069222,"P"
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57899.824961,
"NLD","GDP","TOT","USD_CAP","A","2019",59674.76803,"P"
"NLD","GDP","TOT","USD_CAP","A","2020",59334.696849,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39719.042939,
"NZL","GDP","TOT","USD_CAP","A","2017",42074.660571,
"NZL","GDP","TOT","USD_CAP","A","2018",43738.114648,
